id,品項名稱,售價,一份(g),蛋白質 (g),脂肪(g),醣類(g),熱量(大卡)
97,蛋餅,20,109,9.9,6.3,24.2,193.1
98,薯餅,15,65,1.1,4.5,16.1,109.3
99,熱狗,15,54,4.9,14.6,7,179
100,荷包蛋,10,46,5.6,4.7,0.1,65.1
101,四川麻辣豬肉蛋餅,45,117,18,12,25.7,380
102,德式香腸大亨堡,55,211,15.8,36.4,18.2,463.6
103,豬排開口笑,50,207,21.2,15.8,46.4,412.6
104,豬肉丹麥麵包,45,184,17,24,46.5,470
105,火腿蛋牛角可頌,55,174,18.4,18.3,42.7,409.1
106,花生貝果,35,82,9.2,5,39.6,240.2
107,草莓貝果,35,82,7.1,0.5,41.9,200.5
108,椰香厚片吐司,35,82,7.4,7.1,39.4,251.1
109,香蒜厚片吐司,35,82,7.4,8.6,37.4,256.6
110,奶油厚片吐司,35,82,7.1,8.6,36.6,252.2
111,巧克力厚片吐司,35,82,7.6,5.4,40.7,241.8
