,start_time,end_time,85度c,coco,subway,二弄堂,品嘉日式料理,四海遊龍,天晟燒臘,姊妹飯桶,拉亞漢堡,李記小館,極麵道,樂軒食堂,比司多,比司多_研三,漢堡王,火山丼,茶壜,郁百分水果行,鑫源冰果店,隆太郎金牌燒臘
Thursday,00:00,06:00,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
Thursday,06:00,07:00,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,f,f
Thursday,07:00,08:00,t,f,f,f,f,f,f,f,t,f,f,f,t,t,f,f,f,f,f,f
Thursday,08:00,09:00,t,f,f,f,f,f,f,f,t,f,f,f,t,t,t,f,f,f,f,f
Thursday,09:00,09:30,t,f,t,f,f,f,f,f,t,f,f,f,t,t,t,f,f,f,f,f
Thursday,09:30,10:00,t,f,t,f,f,f,f,f,t,f,f,f,t,t,t,f,f,t,f,f
Thursday,10:00,10:30,t,t,t,f,f,f,f,f,t,f,f,f,t,t,t,f,t,t,f,f
Thursday,10:30,11:00,t,t,t,f,f,t,f,t,t,t,t,f,t,t,t,f,t,t,f,t
Thursday,11:00,13:00,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
Thursday,13:00,13:30,t,t,t,t,t,t,t,t,f,t,t,t,t,t,t,t,t,t,t,t
Thursday,13:30,14:00,t,t,t,t,t,t,f,f,f,t,f,t,t,t,t,t,t,t,t,t
Thursday,14:00,16:30,t,t,t,f,f,t,f,f,f,t,f,f,f,f,t,f,t,t,f,f
Thursday,16:30,17:00,t,t,t,t,t,t,t,t,f,t,t,t,f,f,t,t,t,t,t,f
Thursday,17:00,19:30,t,t,t,t,t,t,t,t,f,t,t,t,f,f,t,t,t,t,t,t
Thursday,19:30,20:00,t,t,t,t,t,t,f,f,f,t,f,t,t,t,t,t,t,t,f,t
Thursday,20:00,20:30,t,t,t,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f,f
Thursday,20:30,21:00,t,t,t,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f
Thursday,21:00,21:30,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
Thursday,21:30,24:00:00,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
Friday,00:00,06:00,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
